mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.28079743385315,0.41545442617258804,0.10503945350646973,0.007514827178663622,0.01,3,100,0.3,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.3}",-0.5306590012209794,-0.5404462014698848,-0.549732819798876,-0.5427496841344477,-0.5293805438551069,-0.538593650095859,0.007650171848618007,1
5.280547761917115,0.1147825427073378,0.0994729995727539,0.025896707726255005,0.01,3,100,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",-0.5328735661244088,-0.5414097688400661,-0.5524627603366414,-0.5468885536415817,-0.5283890781734066,-0.5404047454232209,0.008826556359331505,2
5.551702976226807,0.1522162866372257,0.11000442504882812,0.04305656290141811,0.01,3,100,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-0.534624779785746,-0.5437701993061799,-0.5537549834770079,-0.5473470313367518,-0.5307161140449269,-0.5420426215901225,0.008385879306317835,6
13.957868719100953,0.8630862488744298,0.1433631420135498,0.05731949826795003,0.01,3,300,0.3,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.3}",-0.5446652870224317,-0.5664106011916817,-0.5741925348964811,-0.5673885930273217,-0.5549970116222648,-0.5615308055520362,0.010445876200409855,12
14.47730736732483,0.5295978277465095,0.09300050735473633,0.008342666031211046,0.01,3,300,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.5}",-0.5442313760338426,-0.5658610409973267,-0.5732899493921677,-0.5683312781864618,-0.5498984706386781,-0.5603224230496954,0.011229918670656371,11
13.884231424331665,0.9891742269211116,0.08279848098754883,0.011702157495587265,0.01,3,300,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.7}",-0.5425727553634477,-0.565587450128563,-0.5725563712584977,-0.5676882985083259,-0.552048210109358,-0.5600906170736385,0.01108955141464716,10
19.390774154663085,0.796418863072456,0.0871553897857666,0.011512992920563658,0.01,3,500,0.3,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.3}",-0.5499977846395341,-0.5789013865457707,-0.5841079571641331,-0.5797339107643066,-0.5711796290433331,-0.5727841336314154,0.012130468252859534,20
22.6359806060791,0.9516440209706103,0.09408998489379883,0.00514354699312321,0.01,3,500,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.5}",-0.551447272801284,-0.5784523802552222,-0.5826502239285589,-0.5778365241561874,-0.5638065405318721,-0.570838588334625,0.011592484487723381,18
24.747722816467284,0.5046176937827426,0.09918441772460937,0.02125870942601514,0.01,3,500,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.7}",-0.5503624319701265,-0.578933408426419,-0.5823892150759041,-0.578524841387968,-0.5637354332876807,-0.5707890660296198,0.012064303587242396,17
8.273871612548827,0.5630128287715624,0.12594361305236818,0.05528919624021217,0.01,5,100,0.3,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.3}",-0.5312659900279894,-0.5448207448606507,-0.5504836171199324,-0.5454081441220733,-0.531315253504364,-0.540658749927002,0.007898503989072402,3
10.65083031654358,0.5743114809620276,0.08386483192443847,0.004806368922466527,0.01,5,100,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.5}",-0.5337614172199678,-0.5441160638293798,-0.5530590243810308,-0.5476150753524547,-0.5309041498684756,-0.5418911461302617,0.008357532029778843,5
9.93213381767273,0.46435690091952725,0.11330351829528809,0.028842326286774033,0.01,5,100,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",-0.5365290346939059,-0.5481865723132329,-0.5545594935247596,-0.5526945348062893,-0.5324748988137485,-0.5448889068303873,0.008824032297354713,8
21.487914943695067,0.7983607977248794,0.11234936714172364,0.0173055921426211,0.01,5,300,0.3,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.3}",-0.5495229602212254,-0.574951982095838,-0.5787122849554326,-0.5748552339532098,-0.5588612960865311,-0.5673807514624474,0.011252349985924233,14
26.330751800537108,1.7277718263793742,0.1117363452911377,0.004929932352230112,0.01,5,300,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.5}",-0.549957269029232,-0.574280314752584,-0.5775283124176828,-0.5738190382679483,-0.557156960847479,-0.5665483790629853,0.010923991207494205,13
28.25755844116211,0.3618239762903216,0.12293624877929688,0.04816245088260495,0.01,5,300,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.7}",-0.5497065524535696,-0.5773455540571152,-0.5798745892483633,-0.5775685085739123,-0.5583171452729141,-0.5685624699211749,0.012220700827035733,15
32.177418327331544,1.8906925759264561,0.09823336601257324,0.01186079549291118,0.01,5,500,0.3,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.3}",-0.5577876998959375,-0.5886562859581617,-0.591109664262225,-0.5879777897316361,-0.5766847488707658,-0.5804432377437452,0.012372517311254386,23
