mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4384937763214112,0.0879735338519819,0.32108402252197266,0.016850681868730778,0.01,0.0001,auto,"{'C': 0.01, 'epsilon': 0.0001, 'gamma': 'auto'}",-0.507729381780155,-0.5200947360215142,-0.5419840234307095,-0.5275905042783307,-0.5153940194472509,-0.522558532991592,0.011661686750374331,28
1.8507495403289795,0.03138049855829491,0.447521448135376,0.018528055357336586,0.01,0.0001,scale,"{'C': 0.01, 'epsilon': 0.0001, 'gamma': 'scale'}",-0.5076049674928497,-0.5199590088264953,-0.541851501205654,-0.527426501394212,-0.5152721933179075,-0.5224228344474237,0.011655737310472227,25
1.284268569946289,0.03864974519741391,0.31693854331970217,0.005275214024534686,0.01,0.001,auto,"{'C': 0.01, 'epsilon': 0.001, 'gamma': 'auto'}",-0.5074328578737127,-0.5197948671867146,-0.5416859911337554,-0.5272393332622144,-0.5150700415725314,-0.5222446182057857,0.011660002005797046,23
1.7176932334899901,0.04673406533112432,0.38515262603759765,0.01379652442151021,0.01,0.001,scale,"{'C': 0.01, 'epsilon': 0.001, 'gamma': 'scale'}",-0.5073518703924382,-0.5196497819326357,-0.5415414413987906,-0.5271224597648573,-0.5149410814562807,-0.5221213269890004,0.0116443418170767,20
1.4338531017303466,0.07581578798020384,0.33321447372436525,0.011398374877984353,0.01,0.01,auto,"{'C': 0.01, 'epsilon': 0.01, 'gamma': 'auto'}",-0.5045326429170317,-0.5167538396307847,-0.5385221259835227,-0.5241335702323463,-0.5118183111582902,-0.5191520979843951,0.01160411641834192,14
1.7494593620300294,0.025618195468062824,0.393904447555542,0.004990030100011363,0.01,0.01,scale,"{'C': 0.01, 'epsilon': 0.01, 'gamma': 'scale'}",-0.5044797210292337,-0.5166271198733301,-0.5383992922763081,-0.52404821918002,-0.5117072969424197,-0.5190523298602623,0.011588407526577926,11
1.3607921600341797,0.03491742306043753,0.33118486404418945,0.0062040182722821555,0.01,0.1,auto,"{'C': 0.01, 'epsilon': 0.1, 'gamma': 'auto'}",-0.4847294535105151,-0.49488343977189037,-0.5152310045296646,-0.5016255387683207,-0.4880239897917346,-0.49689868527442504,0.010856599000594144,6
1.7648348808288574,0.024044081748350547,0.39219913482666013,0.008229730533305871,0.01,0.1,scale,"{'C': 0.01, 'epsilon': 0.1, 'gamma': 'scale'}",-0.48468581627677326,-0.49481511413910323,-0.515176095633432,-0.5015795931391344,-0.4879683939664855,-0.49684500263098574,0.010855466451634503,2
0.5632283210754394,0.011199821908021984,0.17690773010253907,0.010363711999488415,0.01,1,auto,"{'C': 0.01, 'epsilon': 1, 'gamma': 'auto'}",-0.7113892839232803,-0.7060592762963599,-0.708648300254205,-0.7059530322097103,-0.6928970744670441,-0.70498939343012,0.006366217470705013,35
0.8680876731872559,0.021931027742836347,0.23607630729675294,0.007868461012028247,0.01,1,scale,"{'C': 0.01, 'epsilon': 1, 'gamma': 'scale'}",-0.7114446271090628,-0.7061216928990143,-0.7086951443133978,-0.7060301735154337,-0.6929560052032452,-0.7050495286080307,0.006364782914640407,40
1.5894458770751954,0.0492753591093697,0.3831233024597168,0.010285953275041948,0.1,0.0001,auto,"{'C': 0.1, 'epsilon': 0.0001, 'gamma': 'auto'}",-0.5076884155368661,-0.5200434315828716,-0.5419459704969157,-0.5275391892690993,-0.5153261481781486,-0.5225086310127803,0.011665511023896711,27
4.1265076160430905,0.11038416091231892,0.7207145690917969,0.01292496043435549,0.1,0.0001,scale,"{'C': 0.1, 'epsilon': 0.0001, 'gamma': 'scale'}",-0.5071248911414831,-0.5191652284963738,-0.5411292256994924,-0.5267397487014044,-0.5147012248725442,-0.5217720637822596,0.011581965553475482,18
1.5892255783081055,0.034090485542651504,0.3527937889099121,0.009846409942239351,0.1,0.001,auto,"{'C': 0.1, 'epsilon': 0.001, 'gamma': 'auto'}",-0.5073917335677672,-0.5197471684832005,-0.5416132057637698,-0.5272075719847024,-0.5150122624463617,-0.5221943884491603,0.0116525781360067,22
2.999800682067871,0.0487112737083486,0.5490951538085938,0.015405860857350283,0.1,0.001,scale,"{'C': 0.1, 'epsilon': 0.001, 'gamma': 'scale'}",-0.506921220384849,-0.5189239480745763,-0.5408944649241704,-0.5264751566415623,-0.5144646084342078,-0.5215358796918732,0.011572075091487725,17
1.5548387050628663,0.025381819895164272,0.35409955978393554,0.0059822900278113725,0.1,0.01,auto,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto'}",-0.5045174588202741,-0.5166723780069485,-0.5384410279764721,-0.5241041661536496,-0.5117667527857567,-0.5191003567486201,0.011588247597876192,13
2.276077127456665,0.03410014595752828,0.44074740409851076,0.024300763176263698,0.1,0.01,scale,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale'}",-0.5043240504203935,-0.5161596379341222,-0.5379847658436883,-0.5235296414296023,-0.51139651047585,-0.5186789212207312,0.011503805747492843,8
1.6089376926422119,0.054632226990659845,0.36042275428771975,0.021485921250236916,0.1,0.1,auto,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto'}",-0.4847206543823658,-0.49485785070801963,-0.5152156023951375,-0.5016038686149819,-0.488001227664966,-0.4968798407530942,0.010856156055831989,4
