mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.778106164932251,1.3545131633826726,0.32363104820251465,0.1782105138007756,0.01,3,100,0.3,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.3}",-0.5271248643403095,-0.5142350720162693,-0.5227814041884145,-0.5267172074835815,-0.5037079484242726,-0.5189132992905694,0.008903724215731375,1
7.7587611198425295,3.037501516071627,0.0999481201171875,0.031795353498096264,0.01,3,100,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",-0.5287976706699457,-0.5148609354960656,-0.5232496872065394,-0.5259718375384271,-0.5027968693249965,-0.5191354000471949,0.009404704602989172,2
4.893691205978394,0.5810674072228978,0.07198076248168946,0.00962012844869807,0.01,3,100,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-0.5292872010183908,-0.5153175992007272,-0.5235473031771616,-0.5273315176831442,-0.505433970648017,-0.5201835183454881,0.008792181839989024,3
9.60038595199585,0.788041644961455,0.07509698867797851,0.014986226205810626,0.01,3,300,0.3,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.3}",-0.5439485883575,-0.5291652909518729,-0.541093771709412,-0.5426346352898449,-0.5198621262243236,-0.5353408825065907,0.009360737053837906,12
12.993959379196166,0.8163866285968544,0.06495881080627441,0.005616525788693504,0.01,3,300,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.5}",-0.5432326054715702,-0.5255014533519721,-0.5401561054057149,-0.541929710972135,-0.5139421231382006,-0.5329523996679185,0.01144618137821051,10
12.050699138641358,0.5531519662900191,0.07933506965637208,0.013630642573815572,0.01,3,300,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.7}",-0.542885309676765,-0.52490182665736,-0.5408799595254494,-0.5445002998144489,-0.5170081030685418,-0.534035099748513,0.011027547568316774,11
22.176138353347778,1.383188840697716,0.0696061134338379,0.016086897806582064,0.01,3,500,0.3,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.3}",-0.554822164798619,-0.5398352734390442,-0.5494854416445282,-0.5534289517918012,-0.5291494552953703,-0.5453442573938726,0.00964326644351315,19
22.742431592941283,2.818896701590571,0.0768742561340332,0.014243498514114597,0.01,3,500,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.5}",-0.552789878429453,-0.5348509119977826,-0.5488702496978054,-0.5517979186129301,-0.5242700342106371,-0.5425157985897217,0.011169171158217674,16
22.271540546417235,1.6418845981711505,0.07524957656860351,0.013646310655829448,0.01,3,500,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.7}",-0.5529984987048089,-0.5334447159637823,-0.5507170488862996,-0.5546776925060938,-0.5273763812806805,-0.5438428674683331,0.011204821365680734,17
6.890974378585815,0.7100893702942901,0.07670650482177735,0.025095210334140538,0.01,5,100,0.3,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.3}",-0.5289540651751584,-0.515976980051321,-0.5252369297613982,-0.528281748748414,-0.5055935058912039,-0.5208086459254991,0.008906742386178865,4
7.387398099899292,0.5002958155337073,0.06399669647216796,0.0056649225171277115,0.01,5,100,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.5}",-0.5313217243635046,-0.5164066359671061,-0.5265466025314477,-0.5270492542500174,-0.5058847415313659,-0.5214417917286884,0.009192283747948499,5
8.728234577178956,1.0213577926929835,0.07506461143493652,0.01109808168335203,0.01,5,100,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",-0.5302280296910875,-0.5180221363779591,-0.5274685355990881,-0.531049684130019,-0.5069970224338594,-0.5227530816464027,0.009138700258395194,7
18.19188404083252,1.505169581801907,0.07673397064208984,0.012699387475316033,0.01,5,300,0.3,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.3}",-0.5487932138027698,-0.5343396940983365,-0.5471588090978032,-0.5489155446000832,-0.5297711502868824,-0.541795682377175,0.008106813745875168,15
22.80093159675598,1.2721639935126543,0.07804136276245117,0.01182438543685705,0.01,5,300,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.5}",-0.5473745691015951,-0.5329586214724275,-0.5475728967741881,-0.547514462555305,-0.5243697936539122,-0.5399580687114856,0.00961327991173512,13
24.105213928222657,1.97681617338208,0.07668685913085938,0.015377838303967722,0.01,5,300,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.7}",-0.548845645817578,-0.532808216385792,-0.5494914979466237,-0.5511462867279143,-0.5243344552097142,-0.5413252204175244,0.010778902452259206,14
31.23165545463562,2.034830933619637,0.09348740577697753,0.01410021762304663,0.01,5,500,0.3,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.3}",-0.5595231876410923,-0.5464144496112667,-0.5578716593642232,-0.5617251074716408,-0.5419881002665337,-0.5535045008709514,0.007820119517911653,24
