mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.061646795272827,0.31527284098475833,2.1904353141784667,0.09940640683498365,0.01,0.0001,auto,"{'C': 0.01, 'epsilon': 0.0001, 'gamma': 'auto'}",-0.5179453315775122,-0.5037539156498402,-0.5105071828632277,-0.4993378004479472,-0.4770553334025282,-0.501719912788211,0.01384654060316074,20
3.330719804763794,0.09265027990859284,0.7183322906494141,0.12095332350683474,0.01,0.0001,scale,"{'C': 0.01, 'epsilon': 0.0001, 'gamma': 'scale'}",-0.5184688887860571,-0.5043844208300464,-0.5110457263654671,-0.4999475898537741,-0.4777054714072629,-0.5023104194485215,0.013803547600546274,26
9.991632556915283,0.622981569824104,2.309891605377197,0.2329990917962085,0.01,0.001,auto,"{'C': 0.01, 'epsilon': 0.001, 'gamma': 'auto'}",-0.5176331203293802,-0.503435611731215,-0.5101900345941046,-0.4990429123521418,-0.47675251004192365,-0.501410837809753,0.013841796523836877,19
2.9454577445983885,0.12932069718004985,0.8093122005462646,0.18987311350965663,0.01,0.001,scale,"{'C': 0.01, 'epsilon': 0.001, 'gamma': 'scale'}",-0.5181989608021594,-0.5040014872173932,-0.5107578078371344,-0.49958183586919624,-0.4772820287643489,-0.5019644240980464,0.013855906840112937,22
10.942307043075562,0.9237441637633212,2.408374786376953,0.177286869869698,0.01,0.01,auto,"{'C': 0.01, 'epsilon': 0.01, 'gamma': 'auto'}",-0.5145911411337676,-0.5003161683516789,-0.5071110816789652,-0.4961831911117666,-0.4738189019726377,-0.49840409684976317,0.013790230123823282,14
2.7443732738494875,0.33372907848059424,0.6354870319366455,0.05286962349779773,0.01,0.01,scale,"{'C': 0.01, 'epsilon': 0.01, 'gamma': 'scale'}",-0.5151274332792757,-0.5008521414590791,-0.507649271609645,-0.49669047164639335,-0.47431813396594485,-0.49892749039206763,0.013804612094965111,16
10.456707048416138,0.8247699912235039,2.011945343017578,0.3924835594906509,0.01,0.1,auto,"{'C': 0.01, 'epsilon': 0.1, 'gamma': 'auto'}",-0.4928308629834338,-0.4779904894266261,-0.48509196166133906,-0.476519247906952,-0.453802601968659,-0.47724703278940195,0.013077632871719012,6
2.8652774333953857,0.42377516580902896,0.6300430297851562,0.03862637004637936,0.01,0.1,scale,"{'C': 0.01, 'epsilon': 0.1, 'gamma': 'scale'}",-0.4930901268570671,-0.4782596412363114,-0.48535190004112505,-0.4767385030225346,-0.45401320370391374,-0.4774906749721904,0.01309572821650626,7
6.421633386611939,0.15583567665579595,1.4074927806854247,0.08448656728698911,0.01,1,auto,"{'C': 0.01, 'epsilon': 1, 'gamma': 'auto'}",-0.70446002097716,-0.6945821769760507,-0.6994218687216045,-0.7070890800302859,-0.6947940040547339,-0.700069430151967,0.005038098370189211,37
0.9858120441436767,0.02499199759748051,0.3047914505004883,0.027983208549699132,0.01,1,scale,"{'C': 0.01, 'epsilon': 1, 'gamma': 'scale'}",-0.7042133868460229,-0.6943747864415195,-0.6992005171993414,-0.7068402073642858,-0.69453106344386,-0.6998319922590059,0.005031727335173173,34
8.584436988830566,0.5129084712085371,2.0043022632598877,0.0635836691699843,0.1,0.0001,auto,"{'C': 0.1, 'epsilon': 0.0001, 'gamma': 'auto'}",-0.5129325794026475,-0.4986769172691089,-0.5053837955568637,-0.4945065518200743,-0.4720691182512412,-0.49671379245998715,0.01381523608705373,13
3.0751866817474367,0.1841314399966475,0.7559664249420166,0.15645690569637602,0.1,0.0001,scale,"{'C': 0.1, 'epsilon': 0.0001, 'gamma': 'scale'}",-0.5185025114972887,-0.5043064889418531,-0.511133635555527,-0.499927706716428,-0.47764998627278443,-0.5023040657967762,0.013840746824814773,25
12.640154123306274,0.8699861716514681,2.2587474822998046,0.23471249276483686,0.1,0.001,auto,"{'C': 0.1, 'epsilon': 0.001, 'gamma': 'auto'}",-0.512656628960933,-0.49839067794717196,-0.505100628777918,-0.49424123084494215,-0.47179984279056497,-0.496437801864306,0.01381131854011744,12
3.504218053817749,0.2798000717588016,0.748584794998169,0.11910061524462671,0.1,0.001,scale,"{'C': 0.1, 'epsilon': 0.001, 'gamma': 'scale'}",-0.5182311822974962,-0.5040030892757325,-0.5107717166006613,-0.49961907717317583,-0.4773126620766443,-0.501987545484742,0.013853081456614074,23
9.720352172851562,0.25658046782888827,1.9121498584747314,0.14177675078268379,0.1,0.01,auto,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto'}",-0.5099021420694685,-0.49558371750145813,-0.502309260731825,-0.491685220729451,-0.4691757357394366,-0.4937312153543278,0.013752608266451399,11
3.08101806640625,0.17452755306911552,0.7103440284729003,0.10692948912610788,0.1,0.01,scale,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale'}",-0.5151321966441711,-0.5008134412017661,-0.5076988957828447,-0.4967277184691274,-0.4743727476067522,-0.49894899994093234,0.013790278780107463,17
8.606434965133667,0.2654697979238457,1.6139542579650878,0.10498943432517768,0.1,0.1,auto,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto'}",-0.4906697841723331,-0.4758130196932905,-0.4828808211150107,-0.47470607086647304,-0.4519859764914002,-0.4752111344677015,0.012944645704295182,5
